ID,Req. Timestamp,Resp. Timestamp,Method,URL,Code,Reason,RTT,Size Resp. Header,Size Resp. Body
43520,Fri Mar 27 14:26:25 EDT 2026,Fri Mar 27 14:26:25 EDT 2026,GET,http://127.0.0.1:3000/_next/static/chunks/cc4ae58c3255a647.js,200,OK,46,350,33327
43521,Fri Mar 27 14:26:25 EDT 2026,Fri Mar 27 14:26:25 EDT 2026,GET,http://127.0.0.1:3000/_next/static/media,404,Not Found,14,265,9
43522,Fri Mar 27 14:26:25 EDT 2026,Fri Mar 27 14:26:25 EDT 2026,GET,http://127.0.0.1:3000/_next/static/media,404,Not Found,31,265,9
43523,Fri Mar 27 14:26:25 EDT 2026,Fri Mar 27 14:26:25 EDT 2026,GET,http://127.0.0.1:3000/_next/static/chunks/a6dad97d9634a72d.js,200,OK,61,352,112594
43524,Fri Mar 27 14:26:25 EDT 2026,Fri Mar 27 14:26:25 EDT 2026,GET,http://127.0.0.1:3000/_next/static/media,404,Not Found,5,265,9
43525,Fri Mar 27 14:26:25 EDT 2026,Fri Mar 27 14:26:25 EDT 2026,GET,http://127.0.0.1:3000/_next/static/chunks/turbopack-8d555da1168ba933.js,200,OK,47,350,10249
43526,Fri Mar 27 14:26:25 EDT 2026,Fri Mar 27 14:26:25 EDT 2026,GET,http://127.0.0.1:3000/_next/static/media/797e433ab948586e-s.p.dbea232f.woff2,200,OK,57,300,31288
43527,Fri Mar 27 14:26:25 EDT 2026,Fri Mar 27 14:26:25 EDT 2026,GET,http://127.0.0.1:3000/_next/static/chunks/a6dad97d9634a72d.js,200,OK,30,352,112594
43528,Fri Mar 27 14:26:25 EDT 2026,Fri Mar 27 14:26:25 EDT 2026,GET,http://127.0.0.1:3000/_next/static/chunks/turbopack-8d555da1168ba933.js,200,OK,21,350,10249
43529,Fri Mar 27 14:26:25 EDT 2026,Fri Mar 27 14:26:25 EDT 2026,GET,http://127.0.0.1:3000/_next/static/media,404,Not Found,19,265,9
43530,Fri Mar 27 14:26:25 EDT 2026,Fri Mar 27 14:26:25 EDT 2026,GET,http://127.0.0.1:3000/_next/static/media,404,Not Found,17,265,9
43531,Fri Mar 27 14:26:25 EDT 2026,Fri Mar 27 14:26:25 EDT 2026,GET,http://127.0.0.1:3000/_next/static/media/797e433ab948586e-s.p.dbea232f.woff2,200,OK,21,300,31288
43532,Fri Mar 27 14:26:25 EDT 2026,Fri Mar 27 14:26:25 EDT 2026,GET,http://127.0.0.1:3000/_next/static/chunks/turbopack-8d555da1168ba933.js,200,OK,20,350,10249
43533,Fri Mar 27 14:26:25 EDT 2026,Fri Mar 27 14:26:25 EDT 2026,GET,http://127.0.0.1:3000/_next/static/chunks/a6dad97d9634a72d.js,200,OK,22,352,112594
43534,Fri Mar 27 14:26:25 EDT 2026,Fri Mar 27 14:26:25 EDT 2026,GET,http://127.0.0.1:3000/_next/static/media,404,Not Found,11,265,9
43535,Fri Mar 27 14:26:25 EDT 2026,Fri Mar 27 14:26:25 EDT 2026,GET,http://127.0.0.1:3000/_next/static/media/c50f3c9c65fbdb75-s.p.cb017eca.woff2,200,OK,24,300,29020
43536,Fri Mar 27 14:26:25 EDT 2026,Fri Mar 27 14:26:25 EDT 2026,GET,http://127.0.0.1:3000/avatars,404,Not Found,45,488,13193
43537,Fri Mar 27 14:26:25 EDT 2026,Fri Mar 27 14:26:25 EDT 2026,GET,http://127.0.0.1:3000/_next/static/media/797e433ab948586e-s.p.dbea232f.woff2,200,OK,49,300,31288
